S_Label,S_Code,S_CUI,S_Depth,Pre_Label,Pre-Code,Pre_CUI,Pre_Depth,Post_Label,Post_Code,Post_CUI,Post_Depth
Therapeutic ultrasound,00.0,C0041620,4,Therapeutic ultrasound,00.0,C0041620,4,Ultrasonic Therapy,D014464,C0041620,7
Therapeutic ultrasound of vessels of head and neck,00.01,C1135436,5,Therapeutic ultrasound,00.0,C0041620,4,Ultrasonic Therapy,D014464,C0041620,7
Therapeutic ultrasound of heart,00.02,C1135437,5,Therapeutic ultrasound,00.0,C0041620,4,Ultrasonic Therapy,D014464,C0041620,7
Therapeutic ultrasound of peripheral vascular vessels,00.03,C1135438,5,Therapeutic ultrasound,00.0,C0041620,4,Ultrasonic Therapy,D014464,C0041620,7
Other therapeutic ultrasound,00.09,C1135439,5,Therapeutic ultrasound,00.0,C0041620,4,Ultrasonic Therapy,D014464,C0041620,7
Cholera,001,C0008354,4,Cholera,001,C0008354,4,Cholera,D002771,C0008354,8
Cholera due to vibrio cholerae,001.0,C0008354,5,Cholera due to vibrio cholerae,001.0,C0008354,5,Cholera,D002771,C0008354,8
Cholera due to vibrio cholerae el tor,001.1,C0343372,5,Cholera,001,C0008354,4,Cholera,D002771,C0008354,8
"Cholera, unspecified",001.9,C0008354,5,"Cholera, unspecified",001.9,C0008354,5,Cholera,D002771,C0008354,8
Typhoid fever,002.0,C0041466,5,Typhoid fever,002.0,C0041466,5,Typhoid Fever,D014435,C0041466,9
"Paratyphoid fever, unspecified",002.9,C0030528,5,"Paratyphoid fever, unspecified",002.9,C0030528,5,Paratyphoid Fever,D010284,C0030528,9
Salmonella gastroenteritis,003.0,C0036114,5,Salmonella gastroenteritis,003.0,C0036114,5,Salmonella Food Poisoning,D012478,C0036114,7
"Salmonella infection, unspecified",003.9,C0036117,5,"Salmonella infection, unspecified",003.9,C0036117,5,Salmonella Infections,D012480,C0036117,8
Staphylococcal food poisoning,005.0,C0038159,5,Staphylococcal food poisoning,005.0,C0038159,5,Staphylococcal Food Poisoning,D013202,C0038159,7
Amebiasis,006,C0002438,4,Amebiasis,006,C0002438,4,Amebiasis,D000562,C0002438,6
Acute amebic dysentery without mention of abscess,006.0,C1363999,5,Amebiasis,006,C0002438,4,Amebiasis,D000562,C0002438,6
Chronic intestinal amebiasis without mention of abscess,006.1,C0152500,5,Amebiasis,006,C0002438,4,Amebiasis,D000562,C0002438,6
Amebic nondysenteric colitis,006.2,C0152501,5,Amebiasis,006,C0002438,4,Amebiasis,D000562,C0002438,6
Amebic liver abscess,006.3,C0023886,5,Amebic liver abscess,006.3,C0023886,5,"Liver Abscess, Amebic",D008101,C0023886,6
Amebic lung abscess,006.4,C0152502,5,Amebiasis,006,C0002438,4,Amebiasis,D000562,C0002438,6
Amebic brain abscess,006.5,C0152503,5,Amebiasis,006,C0002438,4,Amebiasis,D000562,C0002438,6
Amebic skin ulceration,006.6,C1318565,5,Amebiasis,006,C0002438,4,Amebiasis,D000562,C0002438,6
Amebic infection of other sites,006.8,C0152505,5,Amebiasis,006,C0002438,4,Amebiasis,D000562,C0002438,6
"Amebiasis, unspecified",006.9,C0002438,5,"Amebiasis, unspecified",006.9,C0002438,5,Amebiasis,D000562,C0002438,6
Balantidiasis,007.0,C0004692,5,Balantidiasis,007.0,C0004692,5,Balantidiasis,D001447,C0004692,6
Giardiasis,007.1,C0017536,5,Giardiasis,007.1,C0017536,5,Giardiasis,D005873,C0017536,6
Cryptosporidiosis,007.4,C0010418,5,Cryptosporidiosis,007.4,C0010418,5,Cryptosporidiosis,D003457,C0010418,6
Cyclosporiasis,007.5,C0343398,5,Cyclosporiasis,007.5,C0343398,5,Cyclosporiasis,D021866,C0343398,7
Infectious diarrhea,009.2,C0013369,5,Infectious diarrhea,009.2,C0013369,5,Dysentery,D004403,C0013369,7
"Incision and excision of skull, brain, and cerebral meninges",01,C0161848,3,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Cranial puncture,01.0,C0195838,4,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Cisternal puncture,01.01,C0195877,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Ventriculopuncture through previously implanted catheter,01.02,C0176006,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Other cranial puncture,01.09,C0176007,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
"Diagnostic procedures on skull, brain, and cerebral meninges",01.1,C0176008,4,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Intracranial pressure monitoring,01.10,C0150260,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Closed [percutaneous] [needle] biopsy of cerebral meninges,01.11,C0195984,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Open biopsy of cerebral meninges,01.12,C0176010,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Closed [percutaneous] [needle] biopsy of brain,01.13,C0195916,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Open biopsy of brain,01.14,C0176012,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Biopsy of skull,01.15,C0195898,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Intracranial oxygen monitoring,01.16,C1955641,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Brain temperature monitoring,01.17,C1955643,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Other diagnostic procedures on brain and cerebral meninges,01.18,C0176013,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Other diagnostic procedures on skull,01.19,C0176014,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Craniotomy and craniectomy,01.2,C0176015,4,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Cranial implantation or replacement of neurostimulator pulse generator,01.20,C2921029,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Incision and drainage of cranial sinus,01.21,C0195889,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Removal of intracranial neurostimulator lead(s),01.22,C1456053,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Reopening of craniotomy site,01.23,C0195791,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Other craniotomy,01.24,C0029566,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Other craniectomy,01.25,C0176016,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Insertion of catheter(s) into cranial cavity or tissue,01.26,C1719715,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Removal of catheter(s) from cranial cavity or tissue,01.27,C1719291,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Placement of intracerebral catheter(s) via burr hole(s),01.28,C1719292,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Removal of cranial neurostimulator pulse generator,01.29,C2921030,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Incision of brain and cerebral meninges,01.3,C0176017,4,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Incision of cerebral meninges,01.31,C0195842,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Lobotomy and tractotomy,01.32,C0195806,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Other incision of brain,01.39,C0176018,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Operations on thalamus and globus pallidus,01.4,C0176019,4,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Operations on thalamus,01.41,C0176020,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
Operations on globus pallidus,01.42,C0195781,5,OPERATIONS ON THE NERVOUS SYSTEM,01-05.99,C0524850,2,Neurosurgical Procedures,D019635,C0524850,5
